Sample,Elapsed (s),Write Speed (MB/s)
1229,632.309,89.86
1230,632.825,100.91
1231,633.356,97.96
1232,633.900,88.15
1233,634.440,103.65
1234,634.946,102.81
1235,635.456,94.21
1236,635.959,142.94
1237,636.480,145.89
1238,636.994,147.89
1239,637.506,140.67
1240,638.023,162.64
1241,638.542,146.22
1242,639.048,142.37
1243,639.562,155.75
1244,640.071,157.02
1245,640.594,153.11
1246,641.117,106.93
1247,641.639,107.30
1248,642.145,94.82
1249,642.685,103.84
1250,643.224,103.86
1251,643.738,85.63
1252,644.251,101.35
1253,644.769,100.29
1254,645.287,92.64
1255,645.799,125.00
1256,646.314,139.82
1257,646.838,160.46
1258,647.349,164.44
1259,647.860,164.30
1260,648.383,160.57
1261,648.929,117.34
1262,649.439,101.81
1263,649.942,103.48
1264,650.455,101.37
1265,650.965,94.12
1266,651.490,98.94
1267,652.029,96.50
1268,652.551,91.95
1269,653.075,99.18
1270,653.593,100.49
1271,654.111,84.90
1272,654.643,97.78
1273,655.173,105.69
1274,655.677,111.15
1275,656.182,150.39
1276,656.701,131.12
1277,657.204,103.24
1278,657.721,100.73
1279,658.266,87.93
1280,658.779,109.23
1281,659.283,103.17
1282,659.785,127.64
1283,660.292,157.62
1284,660.805,156.10
1285,661.322,162.29
1286,661.841,154.09
1287,662.342,151.89
1288,662.859,108.28
1289,663.390,97.92
1290,663.895,102.89
1291,664.420,91.41
1292,664.929,94.38
1293,665.442,93.66
1294,665.968,106.29
1295,666.478,109.87
1296,667.031,101.34
1297,667.533,111.60
1298,668.037,158.50
1299,668.557,146.21
1300,669.072,100.96
1301,669.577,95.13
1302,670.101,106.80
1303,670.605,103.23
1304,671.117,85.98
1305,671.630,101.32
1306,672.151,99.81
1307,672.676,98.90
1308,673.181,103.01
1309,673.683,111.67
1310,674.195,148.28
1311,674.722,136.82
1312,675.242,92.26
1313,675.760,100.27
1314,676.288,106.08
1315,676.790,95.62
1316,677.299,94.44
1317,677.817,115.67
1318,678.342,152.44
1319,678.844,127.46
1320,679.363,100.21
1321,679.891,105.97
1322,680.396,111.07
1323,680.911,93.13
1324,681.439,106.16
1325,681.947,141.63
1326,682.466,154.19
1327,682.975,110.06
1328,683.484,94.18
1329,683.996,101.66
1330,684.503,102.63
1331,685.024,84.42
1332,685.560,89.55
1333,686.086,151.99
1334,686.600,155.70
1335,687.124,106.78
1336,687.646,99.71
1337,688.190,102.93
1338,688.722,97.72
1339,689.265,103.20
1340,689.787,107.25
1341,690.292,94.96
1342,690.806,101.31
1343,691.311,95.03
1344,691.819,125.87
1345,692.323,150.73
1346,692.849,136.97
1347,693.350,151.70
1348,693.875,144.73
1349,694.389,148.01
1350,694.889,103.88
