Sample,Elapsed (s),Write Speed (MB/s),Bytes Written,Capacity %,Drive Total Bytes,Drive Used Bytes,Notes
272,136.262,191.71,408860753920,43.49,2000263573504,470990987264,
273,136.764,175.38,408953028608,43.50,2000263573504,470990987264,
274,137.265,207.70,409062080512,43.51,2000263573504,470990987264,
275,137.765,143.77,409137577984,43.52,2000263573504,470990987264,
276,138.266,95.89,409187909632,43.52,2000263573504,470990987264,
277,138.767,95.87,409238241280,43.53,2000263573504,470990987264,
278,139.267,95.90,409288572928,43.54,2000263573504,470990987264,
279,139.768,79.89,409330515968,43.54,2000263573504,470990987264,
280,140.268,111.87,409389236224,43.55,2000263573504,470990987264,
281,140.769,95.92,409439567872,43.55,2000263573504,470990987264,
282,141.269,95.90,409489899520,43.56,2000263573504,470990987264,
283,141.770,111.88,409548619776,43.56,2000263573504,470990987264,
284,142.270,95.91,409598951424,43.57,2000263573504,470990987264,
285,142.771,95.94,409649283072,43.57,2000263573504,470990987264,
286,143.271,95.86,409699614720,43.58,2000263573504,470990987264,
287,143.772,95.84,409749946368,43.58,2000263573504,470990987264,
288,144.273,95.89,409800278016,43.59,2000263573504,470990987264,
289,144.774,111.85,409858998272,43.60,2000263573504,470990987264,
290,145.276,190.99,409959661568,43.61,2000263573504,470990987264,
291,145.777,175.72,410051936256,43.62,2000263573504,470990987264,
292,146.279,191.14,410152599552,43.63,2000263573504,470990987264,
293,146.780,191.65,410253262848,43.64,2000263573504,470990987264,
294,147.281,175.85,410345537536,43.65,2000263573504,470990987264,
295,147.782,207.37,410454589440,43.66,2000263573504,470990987264,
296,148.283,143.81,410530086912,43.67,2000263573504,470990987264,
297,148.783,95.93,410580418560,43.67,2000263573504,470990987264,
298,149.284,95.91,410630750208,43.68,2000263573504,470990987264,
299,149.784,111.86,410689470464,43.68,2000263573504,470990987264,
300,150.287,95.53,410739802112,43.69,2000263573504,470990987264,
301,150.787,95.90,410790133760,43.70,2000263573504,470990987264,
302,151.288,95.84,410840465408,43.70,2000263573504,470990987264,
303,151.790,95.59,410890797056,43.71,2000263573504,470990987264,
304,152.291,111.72,410949517312,43.71,2000263573504,470990987264,
305,152.792,95.93,410999848960,43.72,2000263573504,470990987264,
306,153.292,95.88,411050180608,43.72,2000263573504,470990987264,
307,153.794,95.69,411100512256,43.73,2000263573504,470990987264,
308,154.295,111.83,411159232512,43.73,2000263573504,470990987264,
309,154.799,95.16,411209564160,43.74,2000263573504,470990987264,
310,155.300,95.88,411259895808,43.75,2000263573504,470990987264,
311,155.802,207.04,411368947712,43.76,2000263573504,470990987264,
312,156.303,207.65,411477999616,43.77,2000263573504,470990987264,
313,156.803,207.85,411587051520,43.78,2000263573504,470990987264,
314,157.304,223.77,411704492032,43.79,2000263573504,470990987264,
315,157.805,191.44,411805155328,43.80,2000263573504,470990987264,
316,158.306,223.80,411922595840,43.82,2000263573504,470990987264,
317,158.807,207.60,412031647744,43.83,2000263573504,470990987264,
318,159.307,191.85,412132311040,43.84,2000263573504,470990987264,
319,159.808,111.73,412191031296,43.84,2000263573504,470990987264,
320,160.309,95.85,412241362944,43.85,2000263573504,470990987264,
321,160.810,95.78,412291694592,43.86,2000263573504,470990987264,
322,161.312,111.61,412350414848,43.86,2000263573504,470990987264,
323,161.814,95.52,412400746496,43.87,2000263573504,470990987264,
324,162.315,111.83,412459466752,43.87,2000263573504,470990987264,
325,162.816,95.89,412509798400,43.88,2000263573504,470990987264,
326,163.316,95.91,412560130048,43.88,2000263573504,470990987264,
327,163.819,111.37,412618850304,43.89,2000263573504,470990987264,
328,164.320,95.89,412669181952,43.90,2000263573504,470990987264,
329,164.820,111.87,412727902208,43.90,2000263573504,470990987264,
330,165.321,95.86,412778233856,43.91,2000263573504,470990987264,
331,165.822,111.82,412836954112,43.91,2000263573504,470990987264,
332,166.322,143.79,412912451584,43.92,2000263573504,470990987264,
333,166.823,303.46,413071835136,43.94,2000263573504,470990987264,
334,167.324,319.46,413239607296,43.96,2000263573504,470990987264,
